,index,id,age,sex,height,weight,ap_hi,ap_lo,smoke,alco,active,cardio,bmi,overweight
index,1.0,0.9999993071230451,-0.0008580549890921771,-0.005577799682216371,-0.005578449606220367,-0.03726755807702525,0.013077318087010825,-0.03674524076367065,-0.02138649680414118,0.023270796894151034,-0.023672150600440617,0.00410746190618436,-0.03682128819124761,-0.015810204971505152
id,0.9999993071230451,1.0,-0.0008023276905485266,-0.005551251731917884,-0.0055902210215826404,-0.03725644039715325,0.013094050339317728,-0.03676802802231132,-0.021421697069691274,0.02325822577361192,-0.023660094706072613,0.004105163963495493,-0.03681044500081802,-0.015803145769488033
age,-0.0008580549890921771,-0.0008023276905485266,1.0,-0.027201553455277423,0.008947875563088578,0.051120805937578895,-0.009500126868903346,-0.010201220578794148,-0.07277684161278393,-0.023484692905777507,0.017078275377062004,0.19344506768301054,0.05026202640679898,0.04563503678271987
sex,-0.005577799682216371,-0.005551251731917884,-0.027201553455277423,1.0,-0.07696074275243184,0.17403768225987384,0.012100371997938321,0.02713901597046797,0.16583598907327465,0.09510834773137891,0.03893527663632181,0.004589056603720199,0.18827870792824,0.17004487894971185
height,-0.005578449606220367,-0.0055902210215826404,0.008947875563088578,-0.07696074275243184,1.0,0.06838288343869661,-0.018282251089558988,0.012208627744439727,-0.020827286147657442,-0.007595107169005407,-0.015972709575179357,0.0030094237182254455,-0.19612615343191114,-0.09483118705727916
weight,-0.03726755807702525,-0.03725644039715325,0.051120805937578895,0.17403768225987384,0.06838288343869661,1.0,-0.0007169353039471804,0.03999488554911472,-0.003525340218171727,0.026391486845181562,0.029782402148226392,0.15754972815642318,0.9635639524832844,0.7820086088262267
ap_hi,0.013077318087010825,0.013094050339317728,-0.009500126868903346,0.012100371997938321,-0.018282251089558988,-0.0007169353039471804,1.0,0.004156144337815061,-0.008828553279537486,-0.0047427670182428805,0.011221614543251945,0.04743099888402701,0.004307832820886981,-0.011880806135484772
ap_lo,-0.03674524076367065,-0.03676802802231132,-0.010201220578794148,0.02713901597046797,0.012208627744439727,0.03999488554911472,0.004156144337815061,1.0,-0.01228334488878617,-0.010200634615427792,-0.005741076016229458,0.05205235405540672,0.034976050423826656,0.028013949548719604
smoke,-0.02138649680414118,-0.021421697069691274,-0.07277684161278393,0.16583598907327465,-0.020827286147657442,-0.003525340218171727,-0.008828553279537486,-0.01228334488878617,1.0,0.3770486106415947,0.09400228394120672,0.0016152526871083366,0.002157308768107487,0.009831152039422456
alco,0.023270796894151034,0.02325822577361192,-0.023484692905777507,0.09510834773137891,-0.007595107169005407,0.026391486845181562,-0.0047427670182428805,-0.010200634615427792,0.3770486106415947,1.0,0.06111541920267276,-0.0076869000820914135,0.028938771810461655,0.04944432894491527
active,-0.023672150600440617,-0.023660094706072613,0.017078275377062004,0.03893527663632181,-0.015972709575179357,0.029782402148226392,0.011221614543251945,-0.005741076016229458,0.09400228394120672,0.06111541920267276,1.0,-0.044436612710041935,0.033672508992148624,0.0213358935733445
cardio,0.00410746190618436,0.004105163963495493,0.19344506768301054,0.004589056603720199,0.0030094237182254455,0.15754972815642318,0.04743099888402701,0.05205235405540672,0.0016152526871083366,-0.0076869000820914135,-0.044436612710041935,1.0,0.15507548069794924,0.12970539116746188
bmi,-0.03682128819124761,-0.03681044500081802,0.05026202640679898,0.18827870792824,-0.19612615343191114,0.9635639524832844,0.004307832820886981,0.034976050423826656,0.002157308768107487,0.028938771810461655,0.033672508992148624,0.15507548069794924,1.0,0.7958482713637173
overweight,-0.015810204971505152,-0.015803145769488033,0.04563503678271987,0.17004487894971185,-0.09483118705727916,0.7820086088262267,-0.011880806135484772,0.028013949548719604,0.009831152039422456,0.04944432894491527,0.0213358935733445,0.12970539116746188,0.7958482713637173,1.0
